date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-06-23 00:00:00+00:00,201.91,203.95,201.43,202.09,30917447,198.8067467668,200.8153930122,198.3341241208,198.983980259,30917447,0.0,1.0
2020-06-24 00:00:00+00:00,197.84,203.25,196.56,201.6,36740647,194.7993005812,200.1261516535,193.5389735252,198.5015113079,36740647,0.0,1.0
2020-06-25 00:00:00+00:00,200.34,200.61,195.47,197.8,27803933,197.2608768623,197.5267271006,192.4657262667,194.7599153607,27803933,0.0,1.0
2020-06-26 00:00:00+00:00,196.33,199.89,194.88,199.73,54675780,193.3125085074,196.8177931317,191.8847942643,196.6602522497,54675780,0.0,1.0
2020-06-29 00:00:00+00:00,198.44,198.53,193.55,195.78,26701586,195.3900788886,195.4786956347,190.5752356828,192.7709617255,26701586,0.0,1.0
2020-06-30 00:00:00+00:00,203.51,204.4,197.74,197.88,34310283,200.3821555867,201.2584767428,194.7008375299,194.8386858017,34310283,0.0,1.0
2020-07-01 00:00:00+00:00,204.7,206.35,201.77,203.14,32071431,201.5538658965,203.178506242,198.668898495,200.0178422971,32071431,0.0,1.0
2020-07-02 00:00:00+00:00,206.26,208.02,205.0,205.68,29322547,203.0898894959,204.8228391978,201.8492550502,202.5188037987,29322547,0.0,1.0
2020-07-06 00:00:00+00:00,210.7,211.13,208.09,208.83,32033747,207.4616489711,207.8850400915,204.8917633337,205.6203899129,32033747,0.0,1.0
2020-07-07 00:00:00+00:00,208.25,214.67,207.99,210.45,33600749,205.0493042157,211.3706321055,204.7933002824,207.215491343,33600749,0.0,1.0
2020-07-08 00:00:00+00:00,212.83,213.26,208.69,210.07,33602226,209.5589119626,209.982303083,205.4825416411,206.8413317483,33602226,0.0,1.0
2020-07-09 00:00:00+00:00,214.32,216.38,211.47,216.33,33122280,211.0260114262,213.0543502818,208.2198144657,213.0051187562,33122280,0.0,1.0
2020-07-10 00:00:00+00:00,213.67,214.08,211.08,213.62,26178663,210.3860015931,210.7897001032,207.8358085659,210.3367700675,26178663,0.0,1.0
2020-07-13 00:00:00+00:00,207.07,215.8,206.5,214.48,38135816,203.887440211,212.4832645846,203.3262008189,211.1835523082,38135816,0.0,1.0
2020-07-14 00:00:00+00:00,208.35,208.85,202.03,206.13,37598121,205.1477672669,205.6400825231,198.9249024283,202.9618875293,37598121,0.0,1.0
2020-07-15 00:00:00+00:00,208.04,211.33,205.03,209.56,32248893,204.842531808,208.081966194,201.8787939656,206.339170187,32248893,0.0,1.0
2020-07-16 00:00:00+00:00,203.92,205.7,202.31,205.4,29940718,200.7858540968,202.5384964089,199.2005989718,202.2431072552,29940718,0.0,1.0
2020-07-17 00:00:00+00:00,202.88,205.04,201.39,204.47,31636070,199.7618383639,201.8886402707,198.2947389003,201.3274008786,31636070,0.0,1.0
2020-07-20 00:00:00+00:00,211.6,212.3,203.01,205.0,36386080,208.3478164323,209.037057791,199.8898403305,201.8492550502,36386080,0.0,1.0
2020-07-21 00:00:00+00:00,208.75,213.94,208.03,213.66,37702523,205.5416194719,210.6518518314,204.8326855029,210.376155288,37702523,0.0,1.0
2020-07-22 00:00:00+00:00,211.75,212.3,208.39,209.2,49605692,208.4955110092,209.037057791,205.1871524874,205.9847032025,49605692,0.0,1.0
2020-07-23 00:00:00+00:00,202.54,210.92,202.15,207.19,67457035,199.4270639896,207.6782676839,199.0430580898,204.0055958725,67457035,0.0,1.0
2020-07-24 00:00:00+00:00,201.3,202.86,197.51,200.42,39826989,198.2061221542,199.7421457536,194.474372512,197.3396473032,39826989,0.0,1.0
2020-07-27 00:00:00+00:00,203.85,203.97,200.86,201.47,30160867,200.7169299609,200.8350856224,197.7728847287,198.3735093413,30160867,0.0,1.0
2020-07-28 00:00:00+00:00,202.02,204.7,201.74,203.61,23251388,198.9150561232,201.5538658965,198.6393595797,200.4806186379,23251388,0.0,1.0
2020-07-29 00:00:00+00:00,204.06,204.65,202.01,202.5,19632602,200.9237023685,201.5046343709,198.905209818,199.3876787691,19632602,0.0,1.0
2020-07-30 00:00:00+00:00,203.9,204.46,199.57,201.0,25079596,200.7661614865,201.3175545735,196.5027113677,197.9107330005,25079596,0.0,1.0
2020-07-31 00:00:00+00:00,205.01,205.1,199.01,204.4,51247969,201.8591013553,201.9477181015,195.9513182807,201.2584767428,51247969,0.0,1.0
2020-08-03 00:00:00+00:00,216.54,217.64,210.44,211.52,78983009,213.2118911638,214.2949847275,207.2056450379,208.2690459913,78983009,0.0,1.0
2020-08-04 00:00:00+00:00,213.29,214.77,210.31,214.17,49280056,210.0118419984,211.4690951568,207.0776430713,210.8783168493,49280056,0.0,1.0
2020-08-05 00:00:00+00:00,212.94,215.0,211.57,214.9,28858621,209.667221319,211.6955601746,208.318277517,211.5970971234,28858621,0.0,1.0
2020-08-06 00:00:00+00:00,216.35,216.3705,211.55,212.34,32656843,213.0248113664,213.0449962919,208.2985849067,209.0764430115,32656843,0.0,1.0
2020-08-07 00:00:00+00:00,212.48,215.7,210.93,214.85,27820421,209.2142912833,212.3848015333,207.688113989,211.5478655978,27820421,0.0,1.0
2020-08-10 00:00:00+00:00,208.25,211.88,206.35,211.67,36716462,205.0493042157,208.6235129758,203.178506242,208.4167405682,36716462,0.0,1.0
2020-08-11 00:00:00+00:00,203.38,207.65,203.14,207.155,36446459,200.2541536201,204.4585259082,200.0178422971,203.9711338045,36446459,0.0,1.0
2020-08-12 00:00:00+00:00,209.19,210.28,204.75,205.29,28041364,205.9748568974,207.0481041559,201.6030974221,202.1347978988,28041364,0.0,1.0
2020-08-13 00:00:00+00:00,208.7,211.35,208.15,209.44,22588870,205.4923879463,208.1016588042,204.9508411644,206.2210145255,22588870,0.0,1.0
2020-08-14 00:00:00+00:00,208.9,209.59,207.51,208.76,17958936,205.6893140487,206.3687091023,204.3206776365,205.551465777,17958936,0.0,1.0
2020-08-17 00:00:00+00:00,210.28,211.1874,208.915,209.6,20063496,207.0481041559,207.9415578829,205.7040835064,206.3785554075,20063496,0.0,1.0
2020-08-18 00:00:00+00:00,211.49,212.36,209.21,210.53,21336167,208.239507076,209.0961356218,205.9945495076,207.294261784,21336167,0.0,1.0
2020-08-19 00:00:00+00:00,209.7,212.1,209.25,211.49,27627561,206.97918002,209.3480404495,206.5350186895,208.7459550903,27627561,0.51,1.0
2020-08-20 00:00:00+00:00,214.58,215.0,208.91,209.54,26981478,211.7958628932,212.2104134683,206.1994301287,206.8212559914,26981478,0.0,1.0
2020-08-21 00:00:00+00:00,213.02,216.25,212.85,213.86,36249319,210.2561036141,213.444194942,210.0883093336,211.0852047644,36249319,0.0,1.0
2020-08-24 00:00:00+00:00,213.69,215.52,212.43,214.79,25460147,210.9174104839,212.7236665614,209.6737587585,212.0031381808,25460147,0.0,1.0
2020-08-25 00:00:00+00:00,216.47,216.61,213.1,213.1,23043696,213.6613404813,213.7995240064,210.3350656284,210.3350656284,23043696,0.0,1.0
2020-08-26 00:00:00+00:00,221.15,222.09,217.36,217.88,39600828,218.2806183187,219.2084219869,214.5397928906,215.0530459836,39600828,0.0,1.0
2020-08-27 00:00:00+00:00,226.58,231.15,219.4,222.89,57602195,223.6401650402,228.1508701079,216.5533242556,219.99804213,57602195,0.0,1.0
2020-08-28 00:00:00+00:00,228.91,230.644,226.58,228.18,26292896,225.9399337071,227.6514353674,223.6401650402,225.2194053265,26292896,0.0,1.0
2020-08-31 00:00:00+00:00,225.53,228.7,224.31,227.0,28774156,222.6037886024,225.7326584196,221.3996178841,224.0547156154,28774156,0.0,1.0
2020-09-01 00:00:00+00:00,227.27,227.45,224.43,225.51,25791235,224.3212124137,224.4988769459,221.5180609056,222.5840480988,25791235,0.0,1.0
2020-09-02 00:00:00+00:00,231.65,232.86,227.35,227.97,34080839,228.6443826974,229.8386831639,224.400174428,225.012130039,34080839,0.0,1.0
2020-09-03 00:00:00+00:00,217.3,229.31,214.9602,229.27,58400288,214.4805713799,226.3347437787,212.1711298662,226.2952627716,58400288,0.0,1.0
2020-09-04 00:00:00+00:00,214.25,218.3599,205.19,215.1,59664072,211.4701445841,215.526719367,202.5276964631,212.3091159862,59664072,0.0,1.0
2020-09-08 00:00:00+00:00,202.66,210.03,202.2,206.5,52924330,200.0305227604,207.3048983291,199.5764911781,203.8206994475,52924330,0.0,1.0
2020-09-09 00:00:00+00:00,211.29,214.8399,206.7,207.6,45678986,208.5485500545,212.0523907372,204.0181044833,204.9064271443,45678986,0.0,1.0
2020-09-10 00:00:00+00:00,205.37,214.74,204.11,213.4,35461514,202.7053609953,211.9537869218,201.4617092699,210.6311731821,35461514,0.0,1.0
2020-09-11 00:00:00+00:00,204.03,208.63,201.24,207.2,33620073,201.3827472555,205.9230630786,198.6289470064,204.5116170727,33620073,0.0,1.0
